Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	1.	0.	0.	
2	0.	1.	0.	
3	0.95065	0.31026	0.	
4	0.80748	0.5899	0.	
5	0.58461	0.81131	0.	
6	0.30405	0.95266	0.	
7	5.	0.	0.	
8	1.3081	0.	0.	
9	1.6688	0.	0.	
10	2.1064	0.	0.	
11	2.6347	0.	0.	
12	3.216	0.	0.	
13	3.8106	0.	0.	
14	4.4051	0.	0.	
15	5.	5.	0.	
16	5.	0.625	0.	
17	5.	1.25	0.	
18	5.	1.875	0.	
19	5.	2.5	0.	
20	5.	3.125	0.	
21	5.	3.75	0.	
22	5.	4.375	0.	
23	1.e-015	5.	0.	
24	4.375	5.	0.	
25	3.75	5.	0.	
26	3.125	5.	0.	
27	2.5	5.	0.	
28	1.875	5.	0.	
29	1.25	5.	0.	
30	0.625	5.	0.	
31	7.8036e-016	4.4054	0.	
32	6.7254e-016	3.8108	0.	
33	5.6473e-016	3.2163	0.	
34	4.5931e-016	2.6349	0.	
35	3.6352e-016	2.1067	0.	
36	2.8415e-016	1.669	0.	
37	2.1874e-016	1.3082	0.	
38	2.5673	2.5	0.	
39	1.6093	1.5292	0.	
40	1.3624	3.0993	0.	
41	3.189	1.25	0.	
42	3.0817	3.7484	0.	
43	3.3782	2.5	0.	
44	1.5847	0.51298	0.	
45	0.69807	1.2027	0.	
46	2.0341	0.80195	0.	
47	2.461	3.5606	0.	
48	0.41224	1.9192	0.	
49	3.6983	3.9396	0.	
50	1.6225	4.3713	0.	
51	3.8148	0.98112	0.	
52	1.2097	0.82427	0.	
53	2.5246	1.4876	0.	
54	0.879	4.0159	0.	
55	4.1891	2.8125	0.	
56	4.027	1.8496	0.	
57	1.4298	2.4055	0.	
58	0.97681	2.6912	0.	
59	1.6076	1.0473	0.	
60	2.4123	4.2979	0.	
61	1.9503	2.7365	0.	
62	0.38095	1.4554	0.	
63	2.0268	1.9773	0.	
64	2.9309	0.53392	0.	
65	2.8446	1.9346	0.	
66	3.6067	3.257	0.	
67	4.3369	3.5156	0.	
68	1.1551	1.3038	0.	
69	2.9559	3.0259	0.	
70	1.9087	3.3536	0.	
71	4.3862	4.1667	0.	
72	1.5322	3.7839	0.	
73	0.72555	3.1528	0.	
74	4.3963	0.83333	0.	
75	1.1859	0.44945	0.	
76	3.0644	4.4228	0.	
77	1.2909	1.9134	0.	
78	4.4954	1.5885	0.	
79	0.76391	1.5932	0.	
80	3.5043	0.52083	0.	
81	4.4954	2.2135	0.	
82	1.9984	3.8762	0.	
83	3.4345	1.901	0.	
84	2.4007	3.001	0.	
85	1.0613	3.6267	0.	
86	2.4021	0.46939	0.	
87	4.0277	0.45559	0.	
88	2.5125	0.9702	0.	
89	1.995	0.41049	0.	
90	2.0524	1.3117	0.	
91	1.0262	4.4674	0.	
92	3.669	4.5736	0.	
93	0.91402	2.203	0.	
94	0.45225	2.5954	0.	
95	0.56886	3.6769	0.	
96	0.891	0.94639	0.	
97	3.6893	1.4714	0.	
98	4.0149	2.3234	0.	
99	0.39353	1.1461	0.	
100	0.51126	4.2476	0.	
101	1.2274	4.0607	0.	
102	4.0822	1.3555	0.	
